,quote
659,"“Kiss me, and you will see how important I am.”"
660,“War is peace. Freedom is slavery. Ignorance is strength.”
661,"“Religion has actually convinced people that there's an invisible man living in the sky who watches everything you do, every minute of every day. And the invisible man has a special list of ten things he does not want you to do. And if you do any of these ten things, he has a special place, full of fire and smoke and burning and torture and anguish, where he will send you to live and suffer and burn and choke and scream and cry forever and ever 'til the end of time! But He loves you. He loves you, and He needs money! He always needs money! He's all-powerful, all-perfect, all-knowing, and all-wise, somehow just can't handle money!”"
662,"“You're still trying to protect me. Real or not real,"" he whispers.""Real,"" I answer. ""Because that's what you and I do, protect each other.”"
663,“There are worse crimes than burning books. One of them is not reading them.”
664,“That's the thing about books. They let you travel without moving your feet.”
665,"“Accept yourself, love yourself, and keep moving forward. If you want to fly, you have to give up what weighs you down.”"
666,“Whatever it is you're seeking won't come in the form you're expecting.”
667,“What matters in life is not what happens to you but what you remember and how you remember it.”
668,"“It is said that your life flashes before your eyes just before you die. That is true, it's called Life.”"
669,"“To douchebags!"" he said, gesturing to Brad. ""And to girls that break your heart,"" he bowed his head to me. His eyes lost focus. ""And to the absolute fucking horror of losing your best friend because you were stupid enough to fall in love with her.”"
670,"“I am very interested and fascinated how everyone loves each other, but no one really likes each other.”"
671,"“Everyone should be able to do one card trick, tell two jokes, and recite three poems, in case they are ever trapped in an elevator.”"
672,“Remember: the time you feel lonely is the time you most need to be by yourself. Life's cruelest irony.”
673,“You must stay drunk on writing so reality cannot destroy you.”
674,"“It may be unfair, but what happens in a few days, sometimes even a single day, can change the course of a whole lifetime...”"
675,"“The simple things are also the most extraordinary things, and only the wise can see them.”"
676,"“Painting is poetry that is seen rather than felt, and poetry is painting that is felt rather than seen.”"
677,“If you're looking for sympathy you'll find it between shit and syphilis in the dictionary.”
678,"“Life is too short to waste your time on people who donâ€™t respect, appreciate, and value you.”"
679,“I have great faith in fools - self-confidence my friends will call it.”
680,"“People are afraid of themselves, of their own reality; their feelings most of all. People talk about how great love is, but thatâ€™s bullshit. Love hurts. Feelings are disturbing. People are taught that pain is evil and dangerous. How can they deal with love if theyâ€™re afraid to feel? Pain is meant to wake us up. People try to hide their pain. But theyâ€™re wrong. Pain is something to carry, like a radio. You feel your strength in the experience of pain. Itâ€™s all in how you carry it. Thatâ€™s what matters. Pain is a feeling. Your feelings are a part of you. Your own reality. If you feel ashamed of them, and hide them, youâ€™re letting society destroy your reality. You should stand up for your right to feel your pain.”"
681,"“I have found the paradox, that if you love until it hurts, there can be no more hurt, only more love.”"
